Crash_Date,Crash_Time,Aircraft_SN,Aircraft_Type,Summarized_Name,Ejection_Seats,Base,Wing,Squadron,Mission_Type,Weapon,Target_Objective,Ceiling_Vis,Maneuver,Pass,Angle,Altitude,Airspeed,Mission_Phase,Where_Hit,Fire_Observed,Hit_Country,Loss_Country,Latitude,Longitude,Defense_Type,Defense_Category,Pilot_Hit,Pilot_Rank,Pilot,Pilot_Egress,Pilot_Condition,Pilot_Recovered,Pilot_Status
1962-02-11 00:00:00,_,4315732,SC-47A,C-47 Skytrain,N,BHA,_,4400CCTS,"",_,Leaflet drop near Dalat,/..,_,0,0,0,0,_,_,_,SVn,SVn,11.75,107,Gunfire (combat associated),Automatic Weapons,_,Capt,Kissam E. K.,Crash,_,_,KIA
1962-08-28 00:00:00,_,538376,T-28B,T-28 Trojan,N,_,_,_,"",_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,Simpson R. L.,_,_,_,KIA
1962-10-15 00:00:00,_,625909,U-10,U-10 Courier,N,_,_,_,"",_,Not applicable,/..,_,0,0,0,0,_,_,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,Booth H. W.,Crash,_,_,KIA
1962-10-16 00:00:00,_,538365,T-28B,T-28 Trojan,N,_,_,_,"",_,Not applicable,/..,_,0,0,0,0,_,_,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,Chambers B. L.,Ejection,Minor injuries,_,Recovered
1962-11-05 00:00:00,_,4435530,RB-26B,B-26 Invader,N,_,_,_,"",_,_,/..,_,0,0,0,0,At target,_,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,Bennett R. D.,Crash,_,_,KIA
1963-02-03 00:00:00,_,4435692,B-26B,B-26 Invader,N,_,_,_,"",_,_,/..,Strafe,0,0,0,0,At target,_,_,SVn,SVn,,,Small arms,Small Arms Fire,_,Capt,Shaugnessy J.,Crash,_,_,KIA
1963-02-06 00:00:00,_,4435507,RB-26B,B-26 Invader,N,_,_,_,"",_,_,/..,_,0,0,0,0,_,Engine,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Maj,ONeill J. R.,Crash,_,_,KIA
1963-04-08 00:00:00,_,4435525,B-26B,B-26 Invader,N,_,_,_,"",_,_,/..,Strafe,0,0,0,0,At target,Left wing,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,Mitchell A. C.,Crash,_,_,KIA
1963-06-27 00:00:00,_,538375,T-28B,T-28 Trojan,N,_,_,_,"",_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,Terry C. H.,Crash,_,_,KIA
1963-08-16 00:00:00,_,4434681,B-26B,B-26 Invader,N,_,_,_,"",_,_,/..,_,0,0,0,0,_,Left wing,_,SVn,SVn,,,Gunfire,Automatic Weapons,_,Capt,McClean J. H.,Crash,_,_,KIA
1963-09-02 00:00:00,_,4434682,B-26B,B-26 Invader,N,_,_,_,"",_,Not applicable,/..,_,0,0,0,0,Return,_,_,SVn,SVn,,,Gunfire (combat associated),Automatic Weapons,_,Capt,Purcell H. P.,_,_,_,KIA
